StartUtc,PM2_5,PM10,NO2,Temp
1732449600,0.0,0.0,0.0,20.4
1732453200,0.0,0.0,0.0,20.7
1732456800,0.0,0.0,0.0,20.8
1732460400,0.0,0.0,0.0,20.6
1732464000,0.0,0.0,0.0,20.5
1732467600,0.0,0.0,0.0,20.5
1732471200,0.0,0.0,0.0,19.2
1732474800,0.0,0.0,0.0,19.1
1732478400,0.0,0.0,0.0,19.1
1732482000,0.0,0.0,0.0,19.1
1732485600,0.0,0.0,0.0,19.1
1732489200,0.0,0.0,0.0,19.1
1732492800,0.0,0.0,0.0,18.6
1732496400,0.0,0.0,0.0,18.6
1732500000,0.0,0.0,0.0,18.6
1732503600,0.0,0.0,0.0,18.6
1732507200,0.0,0.0,0.0,18.6
1732510800,0.0,0.0,0.0,18.6
1732514400,0.0,0.0,0.0,18.8
1732518000,0.0,0.0,0.0,18.8
1732521600,0.0,0.0,0.0,18.8
1732525200,0.0,0.0,0.0,18.8
1732528800,0.0,0.0,0.0,18.8
1732532400,0.0,0.0,0.0,18.8
1732536000,0.0,0.0,0.0,18.7
1732539600,0.0,0.0,0.0,18.7
1732543200,0.0,0.0,0.0,18.7
1732546800,0.0,0.0,0.0,18.7
1732550400,0.0,0.0,0.0,18.7
1732554000,0.0,0.0,0.0,19.1
1732557600,0.0,0.0,0.0,20.5
1732561200,0.0,0.0,0.0,20.5
1732564800,0.0,0.0,0.0,20.5
1732568400,0.0,0.0,0.0,20.5
1732572000,0.0,0.0,0.0,20.5
1732575600,0.0,0.0,0.0,20.9
1732579200,0.0,0.0,0.0,21.8
1732582800,0.0,0.0,0.0,21.8
1732586400,0.0,0.0,0.0,21.8
1732590000,0.0,0.0,0.0,21.8
1732593600,0.0,0.0,0.0,21.8
1732597200,0.0,0.0,0.0,21.3
1732600800,0.0,0.0,0.0,20.4
1732604400,0.0,0.0,0.0,20.4
1732608000,0.0,0.0,0.0,20.4
1732611600,0.0,0.0,0.0,20.4
1732615200,0.0,0.0,0.0,20.4
1732618800,0.0,0.0,0.0,20.5
1732622400,0.0,0.0,0.0,20.7
1732626000,0.0,0.0,0.0,20.7
1732629600,0.0,0.0,0.0,20.7
1732633200,0.0,0.0,0.0,20.7
1732636800,0.0,0.0,0.0,20.7
